ticker,name,sector,industry,exchange,close,avg_volume_50d,market_cap,atr14,sma50,sma200,atr_extension,rs_3m,rs_6m,rs_12m,rs_score,rs_percentile,trend_strength,stage,52w_high,52w_low,pct_from_52w_high,rts_composite,rts_grade,rts_grade_rank,colour_band,run_date
NVDA,NVIDIA Corporation,Technology,Semiconductors,NASDAQ,207.4,157506798,5023435063296,7.3289,209.68,192.09,-0.3114,-3.12,2.97,-0.34,0.12,0.0,74.5,3,236.54,164.07,-12.32,0.0,,8,,20260716
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,NASDAQ,354.46,31522118,4325323833344,11.5764,371.31,320.82,-1.4559,-2.32,-3.14,73.31,27.64,0.0,75.75,3,408.61,180.48,-13.25,0.0,,8,,20260716
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,NASDAQ,353.81,21622183,4317392142336,11.3771,368.63,320.12,-1.3026,-1.69,-3.48,71.78,27.07,0.0,77.0,3,404.47,181.5,-12.53,0.0,,8,,20260716
AAPL,Apple Inc.,Technology,Consumer Electronics,NASDAQ,333.26,54664537,4894708203520,8.2958,301.64,273.48,3.812,17.67,19.11,38.0,26.31,0.0,90.0,2,334.68,201.5,-0.42,0.0,,8,,20260716
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,NASDAQ,401.1,39654855,2979545219072,12.1301,401.65,438.45,-0.0451,-9.78,-23.19,-42.07,-27.39,0.0,37.75,4,555.45,349.2,-27.79,0.0,,8,,20260716
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,NASDAQ,249.89,49507001,2688094044160,7.6646,252.66,233.94,-0.3613,-6.97,-5.78,-11.6,-8.41,0.0,53.25,3,278.56,196.0,-10.29,0.0,,8,,20260716
AVGO,Broadcom Inc.,Technology,Semiconductors,NASDAQ,374.45,26204408,1781475966976,17.1846,403.65,362.26,-1.6994,-13.0,-2.8,12.26,0.67,0.0,35.0,3,495.0,273.0,-24.35,0.0,,8,,20260716
TSM,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,NYSE,409.74,13924500,2125105856512,18.8483,425.09,349.7,-0.8143,1.96,15.57,52.83,27.07,0.0,72.0,3,479.0,223.7,-14.46,0.0,,8,,20260716
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,NASDAQ,391.06,50696096,1468713271296,17.1163,409.97,417.36,-1.1048,-7.76,-21.34,3.83,-7.88,0.0,59.0,3,498.83,297.82,-21.6,0.0,,8,,20260716
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,NASDAQ,664.54,18102816,1686883794944,25.4065,603.4,639.99,2.4065,-8.49,-3.3,-28.15,-14.54,0.0,63.75,3,796.25,520.26,-16.54,0.0,,8,,20260716
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,NYSE,1169.17,3263711,1042597281792,38.2179,1105.35,1002.68,1.67,21.88,0.12,30.56,17.74,0.0,86.25,2,1249.45,623.78,-6.43,0.0,,8,,20260716
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,NASDAQ,114.95,22003260,914781175808,2.7421,119.96,117.14,-1.8267,-15.22,-12.9,-0.49,-8.52,0.0,31.5,4,135.16,94.43,-14.95,0.0,,8,,20260716
MU,"Micron Technology, Inc.",Technology,Semiconductors,NASDAQ,853.2,51357159,963598221312,84.4556,929.4,479.48,-0.9022,79.51,143.69,589.48,305.96,0.0,60.0,3,1255.0,103.38,-32.02,0.0,,8,,20260716
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,NYSE,343.15,9313031,912161308672,7.7832,316.43,306.81,3.4335,5.14,2.65,0.04,2.23,0.0,88.75,2,351.24,279.1,-2.3,0.0,,8,,20260716
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,NASDAQ,500.94,35960855,816833036288,37.095,496.27,295.01,0.1258,86.54,117.92,199.92,142.87,0.0,88.75,2,584.73,149.22,-14.33,0.0,,8,,20260716
XOM,ExxonMobil Holdings Corporation,Energy,Oil & Gas Integrated,NYSE,145.95,17180088,604955017216,3.3246,145.99,135.64,-0.011,-8.92,8.11,11.38,5.16,0.0,45.75,3,176.41,105.53,-17.27,0.0,,8,,20260716
ASMLF,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,PNK,1780.2,8226,683774771200,85.8003,1710.97,1352.79,0.8068,12.45,31.03,93.43,51.35,0.0,86.25,2,1991.64,683.9,-10.62,0.0,,8,,20260716
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,NASDAQ,1784.87,1922485,685568557056,88.0477,1712.39,1350.34,0.8232,13.19,32.23,96.56,53.2,0.0,86.25,2,1999.96,683.48,-10.75,0.0,,8,,20260716
V,Visa Inc.,Financial Services,Credit Services,NYSE,365.14,8412040,694402744320,8.346,332.31,328.58,3.9342,8.29,3.04,-15.95,-3.24,0.0,90.0,2,365.14,293.89,0.0,0.0,,8,,20260716
INTC,Intel Corporation,Technology,Semiconductors,NASDAQ,96.98,134584259,487421476864,9.2625,117.53,63.87,-2.2184,41.81,96.29,301.12,164.6,0.0,58.75,3,142.35,18.97,-31.87,0.0,,8,,20260716
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,NYSE,249.97,8173470,601732022272,6.2301,237.75,220.74,1.9622,-2.19,9.51,43.12,20.03,0.0,88.75,2,269.43,162.3,-7.22,0.0,,8,,20260716
ORCL,Oracle Corporation,Technology,Software - Infrastructure,NYSE,124.21,29829867,357783306240,8.5685,179.27,190.97,-6.4254,-34.13,-46.95,-68.54,-52.38,0.0,5.0,4,345.72,123.66,-64.07,0.0,,8,,20260716
TCEHY,Tencent Holdings Limited,Communication Services,Internet Content & Information,PNK,61.2,4399521,550899679232,1.6047,57.51,69.4,2.3024,-11.17,-31.49,-28.2,-25.09,0.0,41.25,3,87.68,52.84,-30.2,0.0,,8,,20260716
TCTZF,Tencent Holdings Limited,Communication Services,Internet Content & Information,PNK,61.0,7972,549099339776,2.5051,57.94,70.29,1.2214,-12.71,-32.72,-28.75,-26.13,0.0,40.0,3,89.1,51.49,-31.54,0.0,,8,,20260716
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,NASDAQ,109.66,25024831,432217751552,4.1352,115.24,86.35,-1.3504,26.11,37.85,44.61,37.62,0.0,74.5,3,130.37,65.75,-15.89,0.0,,8,,20260716
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,NASDAQ,945.57,2342762,419340255232,20.4633,978.95,954.92,-1.6311,-11.37,-8.11,-23.74,-15.18,0.0,32.75,4,1096.5,844.06,-13.76,0.0,,8,,20260716
MA,Mastercard Incorporated,Financial Services,Credit Services,NYSE,551.54,3808444,487331823616,12.5619,501.47,527.27,3.9855,-1.28,-7.24,-21.17,-11.32,0.0,87.5,3,601.77,464.52,-8.35,0.0,,8,,20260716
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,NYSE,877.17,3042998,404017446912,41.6922,929.49,716.52,-1.2549,6.58,29.61,97.12,50.85,0.0,60.0,3,1073.46,405.46,-18.29,0.0,,8,,20260716
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,NASDAQ,320.96,11224445,401383260160,27.3727,335.37,232.02,-0.5263,13.6,41.22,197.32,96.75,0.0,72.0,3,438.5,90.94,-26.81,0.0,,8,,20260716
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,NYSE,183.86,9660621,366175158272,3.8764,181.63,171.0,0.5765,-7.19,5.55,5.12,2.19,0.0,61.25,2,214.71,146.49,-14.37,0.0,,8,,20260716
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,NYSE,254.39,7190972,449454440448,6.566,225.61,219.76,4.3832,15.39,9.18,18.71,14.55,0.0,86.25,2,261.64,184.63,-2.77,0.0,,8,,20260716
NFLX,"Netflix, Inc.",Communication Services,Entertainment,NASDAQ,74.35,41800132,313072877568,2.3309,80.94,94.0,-2.8275,-38.5,-26.47,-63.01,-44.09,0.0,8.75,4,127.75,70.86,-41.8,0.0,,8,,20260716
BACRP,Bank of America Corporation PFD SER B 7%,Unknown,Unknown,PNK,201.0,3,0,2.5348,194.1,213.61,2.7218,-4.03,-6.77,-38.18,-18.65,0.0,38.25,3,302.0,181.0,-33.44,0.0,,8,,20260716
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,NYSE,61.49,35721157,431534833664,1.2436,54.84,52.49,5.3459,6.26,5.19,14.14,9.03,0.0,87.5,2,62.03,44.75,-0.87,0.0,,8,,20260716
IDCBY,Industrial and Commercial Bank of China Limited,Financial Services,Banks - Diversified,PNK,17.51,56278,407654268928,0.3512,17.39,16.25,0.3474,-6.49,3.33,-6.74,-3.15,0.0,61.25,2,18.75,13.92,-6.61,0.0,,8,,20260716
IDCBF,Industrial and Commercial Bank of China Limited,Financial Services,Banks - Diversified,PNK,0.88,47036,412717973504,0.0147,0.86,0.81,1.0357,-6.11,6.89,-6.1,-1.56,0.0,50.0,2,0.95,0.69,-7.37,0.0,,8,,20260716
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,NYSE,423.38,7198560,384490176512,12.2546,400.4,337.41,1.8751,28.05,19.72,27.02,24.72,0.0,83.75,2,461.0,234.6,-8.16,0.0,,8,,20260716
RHHBF,Roche Holding AG,Healthcare,Drug Manufacturers - General,OQX,411.2,98,334159413248,8.0937,418.99,414.48,-0.9636,-10.72,-12.06,-3.46,-8.28,0.0,32.75,4,514.08,296.1,-20.01,0.0,,8,,20260716
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,NYSE,84.92,16941929,365366804480,1.6675,80.71,74.29,2.5246,5.96,12.01,3.9,7.25,0.0,83.75,2,85.68,65.35,-0.89,0.0,,8,,20260716
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,NASDAQ,560.93,9392736,445355655168,44.8546,523.11,356.2,0.8432,34.92,75.66,161.52,99.82,0.0,87.5,2,739.67,154.47,-24.16,0.0,,8,,20260716
RHHBY,Roche Holding AG,Healthcare,Drug Manufacturers - General,OQX,51.41,2093281,331126079488,1.121,51.28,49.69,0.1174,-6.71,-9.35,11.83,-0.22,0.0,86.25,2,60.85,37.51,-15.51,0.0,,8,,20260716
RHHVF,Roche Holding AG,Healthcare,Drug Manufacturers - General,OQX,410.0,4100,329811722240,22.9889,408.72,403.99,0.0558,-9.21,-12.54,7.77,-3.58,0.0,80.0,2,490.33,300.15,-16.38,0.0,,8,,20260716
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,NYSE,151.5,9109473,352782745600,3.2417,146.53,146.96,1.5325,-1.07,-2.21,-19.92,-9.01,0.0,86.25,3,167.25,137.62,-9.42,0.0,,8,,20260716
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,NASDAQ,134.44,42941449,322294644736,6.9164,132.55,155.87,0.2736,-12.96,-33.66,-31.52,-27.63,0.0,38.75,3,207.52,106.37,-35.22,0.0,,8,,20260716
ACGBY,Agricultural Bank of China Limited,Financial Services,Banks - Diversified,PNK,17.79,34513,249047941120,0.3382,18.32,17.75,-1.5742,-12.38,-7.27,-17.28,-12.55,0.0,48.25,3,21.0,15.85,-15.29,0.0,,8,,20260716
ARM,Arm Holdings plc,Technology,Semiconductors,NASDAQ,262.01,11146900,279847337984,30.5062,315.05,184.11,-1.7387,56.9,134.18,56.1,83.63,0.0,57.5,3,452.7,100.02,-42.12,0.0,,8,,20260716
ACGBF,Agricultural Bank of China Limited,Financial Services,Banks - Diversified,PNK,0.67,1204,241488297984,0.0084,0.73,0.7,-6.9039,-16.04,-6.52,-17.95,-13.48,0.0,12.0,4,0.82,0.62,-18.29,0.0,,8,,20260716
HSBC,HSBC Holdings plc,Financial Services,Banks - Diversified,NYSE,100.52,1600300,344747606016,1.9091,93.45,81.49,3.7022,3.63,18.7,48.57,26.88,0.0,85.0,2,101.1,60.61,-0.57,0.0,,8,,20260716
MS,Morgan Stanley,Financial Services,Capital Markets,NYSE,218.37,5757183,343277633536,6.8489,209.81,180.13,1.2499,7.04,12.01,35.95,20.34,0.0,86.25,2,232.25,136.17,-5.98,0.0,,8,,20260716
CICHF,China Construction Bank Corporation,Financial Services,Banks - Diversified,PNK,1.06,106759,290376417280,0.0628,1.06,1.0,-0.0208,-9.77,-1.12,-21.11,-11.28,0.0,42.0,3,1.31,0.89,-19.08,0.0,,8,,20260716
GE,GE Aerospace,Industrials,Aerospace & Defense,NYSE,345.73,5595796,361228959744,10.1948,332.11,311.45,1.3361,2.74,-2.84,9.29,3.4,0.0,86.25,2,382.97,254.66,-9.72,0.0,,8,,20260716
