ticker,name,sector,industry,exchange,close,avg_volume_50d,market_cap,atr14,sma50,sma200,atr_extension,rs_3m,rs_6m,rs_12m,rs_score,rs_percentile,trend_strength,stage,52w_high,52w_low,pct_from_52w_high,rts_composite,rts_grade,rts_grade_rank,colour_band,run_date
MASI,Masimo Corporation,Healthcare,Medical Devices,NASDAQ,179.95,946426,9423817728,0.3086,178.68,156.41,4.1075,-9.76,20.25,-17.01,-2.16,0.0,86.25,2,179.99,125.94,-0.02,0.0,,8,,20260623
RDEIY,"Redeia Corporación, S.A.",Utilities,Utilities - Regulated Electric,PNK,8.97,85746,9696199680,0.3073,8.65,8.91,1.0354,-8.66,-9.97,-39.61,-21.5,0.0,88.75,3,11.04,8.08,-18.75,0.0,,8,,20260623
NXSNF,"NextVision Stabilized Systems, Ltd.",Industrials,Security & Protection Services,PNK,90.0,238,8306120192,1.7085,102.3,78.06,-7.1977,-39.65,46.86,170.14,74.54,0.0,25.0,3,123.19,30.5,-26.94,0.0,,8,,20260623
EVKIY,Evonik Industries AG,Basic Materials,Specialty Chemicals,PNK,8.46,2840,8229559808,0.2978,9.42,8.28,-3.2336,-7.6,5.22,-42.87,-17.22,0.0,61.25,3,10.8,7.24,-21.67,0.0,,8,,20260623
BZZUF,Buzzi S.p.A.,Basic Materials,Building Materials,PNK,49.44,160,8859902976,0.1775,52.58,55.74,-17.6868,-22.3,-28.3,-30.19,-27.55,0.0,0.0,4,63.8,49.44,-22.5,0.0,,8,,20260623
UHAL,U-Haul Holding Company,Industrials,Rental & Leasing Services,NYSE,62.38,251433,11850820608,1.6951,54.31,53.15,4.7582,32.79,7.46,-26.0,0.41,0.0,91.25,2,64.38,41.95,-3.11,0.0,,8,,20260623
QABSY,Qantas Airways Limited,Industrials,Airlines,PNK,35.55,59872,10758846464,0.8858,32.07,33.13,3.9337,8.41,-3.75,-15.81,-5.53,0.0,86.25,3,41.65,28.15,-14.65,0.0,,8,,20260623
DAR,Darling Ingredients Inc.,Consumer Defensive,Packaged Foods,NYSE,53.22,2724491,8458114048,1.9192,60.06,45.77,-3.5617,-18.55,42.03,11.7,14.75,0.0,32.5,3,66.02,29.15,-19.39,0.0,,8,,20260623
LINE,"Lineage, Inc.",Real Estate,REIT - Industrial,NASDAQ,40.39,998374,10127706112,1.4555,39.64,37.15,0.5142,1.86,8.03,-30.32,-8.85,0.0,88.75,2,46.61,31.33,-13.34,0.0,,8,,20260623
ASMVF,ASMPT Limited,Technology,Semiconductor Equipment & Materials,PNK,22.2,221,9310436352,0.0794,19.45,12.81,34.6599,40.77,112.98,276.02,160.14,0.0,75.0,2,22.6,6.8,-1.77,0.0,,8,,20260623
CCOEF,"Capcom Co., Ltd.",Communication Services,Electronic Gaming & Multimedia,PNK,19.28,14330,8064994816,0.512,21.6,23.6,-4.5341,-26.76,-27.52,-55.03,-38.33,0.0,2.5,4,32.23,16.45,-40.18,0.0,,8,,20260623
LZRFY,Localiza Rent a Car S.A.,Industrials,Rental & Leasing Services,OQX,7.95,60758,8710840320,0.3899,9.06,8.52,-2.8536,-21.8,-9.56,-25.6,-19.04,0.0,18.25,4,11.76,5.98,-32.4,0.0,,8,,20260623
SIMO,Silicon Motion Technology Corporation,Technology,Semiconductors,NASDAQ,336.9,989553,11423549440,23.9648,234.16,136.46,4.2872,157.71,289.06,353.56,282.02,0.0,86.25,2,355.0,68.79,-5.1,0.0,,8,,20260623
RIOT,"Riot Platforms, Inc.",Financial Services,Capital Markets,NCM,28.63,17553808,10826469376,1.828,22.88,17.88,3.1435,98.91,109.12,161.68,127.59,0.0,87.5,2,30.32,8.87,-5.57,0.0,,8,,20260623
ACM,AECOM,Industrials,Engineering & Construction,NYSE,67.86,1773858,8721565696,2.5964,76.31,99.9,-3.2528,-38.18,-41.13,-64.2,-49.62,0.0,10.0,4,135.52,67.27,-49.93,0.0,,8,,20260623
REGMF,"RemeGen Co., Ltd.",Healthcare,Biotechnology,PNK,12.05,77,5528997376,0.0254,11.73,10.03,12.7118,5.43,9.56,111.79,49.42,0.0,75.0,2,12.85,5.06,-6.23,0.0,,8,,20260623
ONBPP,Old National Bancorp,Financial Services,Banks - Regional,NASDAQ,24.91,18895,0,0.1538,24.74,24.39,1.0916,-12.87,-8.83,-20.46,-14.49,0.0,86.25,2,25.6,24.41,-2.71,0.0,,8,,20260623
ONB,Old National Bancorp,Financial Services,Banks - Regional,NASDAQ,25.01,3150266,9663188992,0.5475,23.87,22.55,2.0902,3.4,-1.66,-1.07,-0.16,0.0,87.5,2,26.17,19.39,-4.43,0.0,,8,,20260623
ONBPO,Old National Bancorp - Deposita,Financial Services,Banks - Regional,NASDAQ,24.91,6925,0,0.136,24.79,24.4,0.8584,-12.62,-9.36,-19.31,-14.16,0.0,88.75,2,25.49,24.53,-2.3,0.0,,8,,20260623
SCRPF,Sembcorp Industries Ltd,Utilities,Utilities - Diversified,PNK,4.85,542,8633922560,0.0195,5.21,4.77,-18.6798,-9.38,-13.59,-41.57,-23.73,0.0,50.0,3,5.98,4.24,-18.9,0.0,,8,,20260623
ACLIF,Accelleron Industries AG,Industrials,Specialty Industrial Machinery,PNK,98.56,6,10278674432,0.2487,102.26,85.08,-14.8646,14.71,13.91,37.63,23.6,0.0,62.0,3,109.3,60.94,-9.83,0.0,,8,,20260623
