ticker,name,sector,industry,exchange,close,avg_volume_50d,market_cap,atr14,sma50,sma200,atr_extension,rs_3m,rs_6m,rs_12m,rs_score,rs_percentile,trend_strength,stage,52w_high,52w_low,pct_from_52w_high,rts_composite,rts_grade,rts_grade_rank,colour_band,run_date
KYOCF,Kyocera Corporation,Industrials,Conglomerates,PNK,23.55,3165,31024906240,0.766,19.86,15.74,4.8208,20.39,67.78,103.22,70.11,0.0,82.5,2,25.56,10.42,-7.86,0.0,,8,,20260702
KYOCY,Kyocera Corporation,Industrials,Conglomerates,PNK,21.23,82637,30155417600,0.9562,19.98,15.92,1.3098,28.13,46.56,64.27,49.04,0.0,87.5,2,24.99,10.58,-15.05,0.0,,8,,20260702
AMADF,"Amadeus IT Group, S.A.",Technology,Information Technology Services,PNK,56.74,6832,24323700736,2.2133,59.79,67.2,-1.3792,-16.18,-32.0,-51.78,-35.96,0.0,40.0,4,86.39,53.99,-34.32,0.0,,8,,20260702
WNGRF,George Weston Limited,Consumer Defensive,Grocery Stores,PNK,71.16,13968,26830426112,0.3861,71.04,68.1,0.3199,-16.59,-4.54,-12.98,-10.93,0.0,77.5,2,192.53,60.17,-63.04,0.0,,8,,20260702
RYAOF,Ryanair Holdings plc,Industrials,Airlines,PNK,25.3,193,31477618688,0.0324,26.42,31.02,-34.5826,-51.89,-24.45,-29.98,-33.52,0.0,12.0,4,38.0,25.3,-33.42,0.0,,8,,20260702
ES,Eversource Energy,Utilities,Utilities - Regulated Electric,NYSE,72.2,2519634,27152977920,1.3876,68.97,68.51,2.3261,-9.52,0.87,-3.36,-3.42,0.0,90.0,2,76.41,61.53,-5.51,0.0,,8,,20260702
BRDCY,Bridgestone Corporation,Consumer Cyclical,Auto Parts,PNK,10.49,340131,26224885760,0.2951,10.53,11.08,-0.1383,-13.22,-17.78,-19.05,-17.15,0.0,56.5,4,12.55,9.15,-16.41,0.0,,8,,20260702
MDB,"MongoDB, Inc.",Technology,Software - Infrastructure,NASDAQ,359.38,2099478,28905627648,21.5217,314.88,332.39,2.0677,31.86,-24.06,49.1,19.18,0.0,87.5,3,444.72,198.47,-19.19,0.0,,8,,20260702
XYL,Xylem Inc.,Industrials,Specialty Industrial Machinery,NYSE,117.27,2177509,27874314240,2.7826,112.68,130.13,1.6483,-16.45,-23.65,-30.21,-24.47,0.0,49.5,3,154.27,105.29,-23.98,0.0,,8,,20260702
VEEV,Veeva Systems Inc.,Healthcare,Health Information Services,NYSE,184.22,3241173,29925304320,7.6498,164.99,213.78,2.5141,-10.09,-27.13,-58.07,-35.25,0.0,33.75,3,310.5,148.05,-40.67,0.0,,8,,20260702
SMCAY,SMC Corporation,Industrials,Specialty Industrial Machinery,PNK,23.25,313288,29325438976,0.8575,22.3,19.83,1.1062,4.08,25.32,7.63,12.93,0.0,85.0,2,27.77,14.31,-16.28,0.0,,8,,20260702
AMADY,"Amadeus IT Group, S.A.",Technology,Information Technology Services,PNK,58.64,168572,25138206720,1.4723,59.83,67.01,-0.8095,-11.71,-29.46,-51.88,-33.99,0.0,45.75,4,85.23,54.75,-31.2,0.0,,8,,20260702
ALMMF,Aluminum Corporation of China Limited,Basic Materials,Aluminum,PNK,0.99,6495,16983421952,0.0748,1.37,1.43,-5.0475,-52.47,-41.41,26.98,-16.82,0.0,5.0,4,2.18,0.62,-54.59,0.0,,8,,20260702
MGDDF,Compagnie Générale des Établissements Michelin Société en commandite par actions,Unknown,Unknown,PNK,40.16,1293,7166873252,0.842,37.19,34.78,3.5289,9.52,11.32,-13.99,0.75,0.0,77.5,2,42.53,29.6,-5.57,0.0,,8,,20260702
CINF,Cincinnati Financial Corporation,Financial Services,Insurance - Property & Casualty,NASDAQ,187.21,754236,28958904320,3.6554,166.37,161.3,5.7004,4.66,5.77,6.49,5.78,0.0,93.75,2,187.79,143.87,-0.31,0.0,,8,,20260702
SNMRF,Snam S.p.A.,Utilities,Utilities - Regulated Gas,PNK,7.46,581,25460545536,0.1592,7.68,6.86,-1.39,-17.3,-2.38,15.32,0.97,0.0,64.5,3,8.12,5.94,-8.11,0.0,,8,,20260702
DOW,Dow Inc.,Basic Materials,Chemicals,NYSE,27.02,12918906,19474434048,1.2814,35.12,29.3,-6.3225,-49.43,9.28,-14.66,-14.97,0.0,23.25,4,42.74,20.4,-36.78,0.0,,8,,20260702
RYLPF,Koninklijke Philips N.V.,Healthcare,Medical Devices,PNK,26.19,1463,25458169856,0.1453,26.58,27.92,-2.6365,-19.48,-9.28,-15.3,-14.23,0.0,24.0,4,33.0,23.85,-20.63,0.0,,8,,20260702
FTAI,FTAI Aviation Ltd.,Industrials,Aerospace & Defense,NASDAQ,261.83,1233140,26859298816,15.9487,250.65,224.4,0.7013,-7.92,43.01,107.32,56.0,0.0,87.5,2,323.51,108.47,-19.07,0.0,,8,,20260702
FTAIM,FTAI Aviation Ltd.,Industrials,Aerospace & Defense,NASDAQ,27.12,6367,0,0.257,26.62,25.93,1.9563,-12.84,-3.12,-11.59,-8.94,0.0,82.5,2,27.81,26.06,-2.48,0.0,,8,,20260702
FTAIN,FTAI Aviation Ltd,Industrials,Aerospace & Defense,NASDAQ,24.99,15277,0,0.0222,24.9,24.49,4.201,-12.75,-8.42,-18.06,-13.36,0.0,90.0,2,25.89,24.95,-3.48,0.0,,8,,20260702
PHG,Koninklijke Philips N.V.,Healthcare,Medical Devices,NYSE,27.2,1169547,26437928960,0.525,26.29,27.07,1.7376,-11.83,-5.33,-4.19,-6.5,0.0,60.0,3,33.44,23.75,-18.66,0.0,,8,,20260702
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,NYSE,190.43,1105701,27016695808,3.6495,182.23,176.22,2.2462,2.7,-2.31,-24.75,-10.03,0.0,90.0,2,205.0,160.1,-7.11,0.0,,8,,20260702
AONNY,"Aeon Co., Ltd.",Consumer Cyclical,Department Stores,PNK,7.97,174985,22049998848,0.2493,9.02,12.82,-4.1969,-48.66,-58.26,-44.44,-50.33,0.0,8.75,4,18.63,7.81,-57.22,0.0,,8,,20260702
BKRKY,PT Bank Rakyat Indonesia (Persero) Tbk,Financial Services,Banks - Regional,PNK,7.36,220400,22164629504,0.311,8.47,9.9,-3.5756,-35.78,-38.98,-53.73,-44.08,0.0,13.75,4,13.78,7.04,-46.59,0.0,,8,,20260702
KHNGF,Kuehne + Nagel International AG,Industrials,Integrated Freight & Logistics,PNK,247.46,54,29388367872,4.4207,234.76,216.99,2.8735,-6.53,4.66,-11.2,-4.48,0.0,77.5,2,247.46,182.22,0.0,0.0,,8,,20260702
