ticker,name,sector,industry,exchange,close,avg_volume_50d,market_cap,atr14,sma50,sma200,atr_extension,rs_3m,rs_6m,rs_12m,rs_score,rs_percentile,trend_strength,stage,52w_high,52w_low,pct_from_52w_high,rts_composite,rts_grade,rts_grade_rank,colour_band,run_date
OCS,Oculis Holding AG,Healthcare,Biotechnology,NASDAQ,13.53,706418,817050624,1.1819,21.34,22.63,-6.6041,-64.08,-41.35,-52.33,-51.43,0.0,15.0,4,34.48,10.52,-60.75,0.0,,8,,20260702
MQ,"Marqeta, Inc.",Technology,Software - Infrastructure,NASDAQ,16.62,1060713,1761846016,0.7113,16.23,17.75,0.5438,-13.13,-23.85,-50.77,-31.94,0.0,47.0,3,28.16,14.8,-40.98,0.0,,8,,20260702
FLO,"Flowers Foods, Inc.",Consumer Defensive,Packaged Foods,NYSE,8.41,7921272,1782863104,0.3736,7.84,9.68,1.5181,-10.1,-28.71,-64.82,-38.5,0.0,40.0,3,16.85,6.8,-50.09,0.0,,8,,20260702
AMRC,"Ameresco, Inc.",Industrials,Engineering & Construction,NYSE,26.53,604663,1404801152,1.8946,29.81,31.37,-1.7297,-10.93,-20.77,52.61,11.04,0.0,35.0,3,44.93,15.52,-40.95,0.0,,8,,20260702
HGRAF,HydroGraph Clean Power Inc.,Basic Materials,Specialty Chemicals,OQB,3.73,1230451,1307649920,0.3441,4.89,3.5,-3.3605,-40.55,79.39,2184.7,891.53,0.0,32.5,3,8.37,0.15,-55.44,0.0,,8,,20260702
VLXGF,Volex plc,Industrials,Electrical Equipment & Parts,PNK,7.46,7033,1374305664,0.2791,8.26,6.31,-2.8563,1.82,24.66,20.57,17.31,0.0,61.25,3,9.53,4.73,-21.74,0.0,,8,,20260702
MQY,"BlackRock MuniYield Quality Fund, Inc.",Financial Services,Asset Management,NYSE,11.59,383011,832551616,0.0917,11.33,11.21,2.8529,-7.79,-2.71,-11.18,-7.37,0.0,85.0,2,11.94,10.78,-2.93,0.0,,8,,20260702
LMPMY,Lee & Man Paper Manufacturing Limited,Basic Materials,Paper & Paper Products,PNK,3.77,32,1619214976,0.0154,3.9,3.85,-8.6285,-33.69,6.8,31.9,6.72,0.0,24.0,4,5.2,2.51,-27.5,0.0,,8,,20260702
CNXN,"PC Connection, Inc.",Technology,Electronics & Computer Distribution,NASDAQ,73.83,111773,1862439168,2.1159,67.87,61.82,2.8176,11.7,17.19,-8.54,5.53,0.0,90.0,2,75.3,54.97,-1.95,0.0,,8,,20260702
PEB,Pebblebrook Hotel Trust,Real Estate,REIT - Hotel & Motel,NYSE,18.59,2708324,2107534080,0.5774,15.97,12.81,4.5392,32.3,53.29,64.62,52.57,0.0,91.25,2,19.75,9.3,-5.87,0.0,,8,,20260702
AIP,"Arteris, Inc.",Technology,Semiconductors,NASDAQ,43.81,988752,2022794624,3.1293,35.43,20.2,2.6792,151.52,168.81,337.67,232.03,0.0,88.75,2,50.26,8.42,-12.83,0.0,,8,,20260702
HTZ,"Hertz Global Holdings, Inc.",Industrials,Rental & Leasing Services,NASDAQ,2.2,15238827,694681920,0.3856,5.16,5.33,-7.6708,-67.25,-67.33,-89.83,-76.31,0.0,10.0,4,8.44,2.13,-73.93,0.0,,8,,20260702
AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,Biotechnology,NASDAQ,37.08,1144726,2205207296,1.5031,29.62,31.73,4.9642,-5.36,27.53,-10.55,4.07,0.0,92.5,3,46.0,22.24,-19.39,0.0,,8,,20260702
TILE,"Interface, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,35.94,596049,2086539520,1.0353,29.97,28.77,5.7691,29.4,16.77,50.31,33.34,0.0,92.5,2,36.66,20.37,-1.96,0.0,,8,,20260702
CAPR,"Capricor Therapeutics, Inc.",Healthcare,Biotechnology,NASDAQ,23.07,1143672,1336027392,1.8072,29.5,22.21,-3.5561,-39.08,-32.2,110.29,23.08,0.0,36.25,3,40.37,4.3,-42.85,0.0,,8,,20260702
BLDP,Ballard Power Systems Inc.,Industrials,Electrical Equipment & Parts,NASDAQ,3.81,8578955,1148622976,0.406,4.42,3.16,-1.4949,42.47,39.25,117.58,71.39,0.0,62.5,3,6.57,1.61,-42.01,0.0,,8,,20260702
SILA,"Sila Realty Trust, Inc.",Real Estate,REIT - Healthcare Facilities,NYSE,30.31,946200,1677119744,0.0676,29.98,25.04,4.8479,19.37,29.7,13.84,20.78,0.0,81.25,2,30.63,21.94,-1.04,0.0,,8,,20260702
NMRSF,NAMURA SHIPBUILDING CO,Industrials,Aerospace & Defense,PNK,22.86,147,1587842304,0.2564,24.29,14.1,-5.5932,-42.3,176.78,4504.9,1853.26,0.0,50.0,3,36.36,20.64,-37.13,0.0,,8,,20260702
NKRKF,Nokian Renkaat Oyj,Consumer Cyclical,Auto Parts,PNK,13.34,86,1839807232,0.1634,12.17,10.86,7.1691,-2.33,24.66,74.02,37.66,0.0,75.0,2,14.77,6.96,-9.65,0.0,,8,,20260702
SHLS,"Shoals Technologies Group, Inc.",Technology,Solar,NASDAQ,10.12,5797467,1697850880,0.9101,9.66,8.69,0.5029,38.83,3.95,116.08,57.52,0.0,87.5,2,13.18,4.43,-23.22,0.0,,8,,20260702
NKRKY,Nokian Renkaat Oyj,Consumer Cyclical,Auto Parts,PNK,6.79,2159,1872345856,0.1133,6.27,5.48,4.6215,10.37,22.26,76.73,41.08,0.0,80.0,2,7.17,3.59,-5.3,0.0,,8,,20260702
INVA,"Innoviva, Inc.",Healthcare,Biotechnology,NASDAQ,21.9,775744,1616411648,0.6764,22.66,21.17,-1.1227,-20.98,2.06,-13.03,-9.74,0.0,49.5,3,25.15,16.52,-12.92,0.0,,8,,20260702
SGML,Sigma Lithium Corporation,Basic Materials,Other Industrial Metals & Mining,NCM,12.41,3383722,1390722304,1.0779,16.83,12.31,-4.0961,-14.4,-15.16,153.74,52.59,0.0,30.0,3,24.48,4.4,-49.31,0.0,,8,,20260702
CASBF,CanSino Biologics Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,PNK,2.6,68,642313856,0.0434,3.47,4.52,-20.0993,-51.11,-53.96,-41.54,-48.28,0.0,0.0,4,6.99,2.6,-62.8,0.0,,8,,20260702
CMPNF,Champion Real Estate Investment Trust,Real Estate,REIT - Retail,PNK,0.34,47,1907400832,0.0014,0.32,0.28,13.011,-8.79,17.17,3.14,5.07,0.0,75.0,2,0.34,0.23,0.0,0.0,,8,,20260702
PAYO,Payoneer Global Inc.,Technology,Software - Infrastructure,NASDAQ,7.09,6894398,2397798400,0.174,5.65,5.58,8.265,31.82,15.61,-18.54,6.0,0.0,86.25,2,7.67,4.08,-7.5,0.0,,8,,20260702
PLYGF,PLYGF,Healthcare,Drug Manufacturers - Specialty & Generic,PNK,43.0,8,1419282304,0.2392,46.45,37.68,-14.4161,3.03,16.79,8.52,10.04,0.0,50.0,3,50.0,31.5,-14.0,0.0,,8,,20260702
PRCT,PROCEPT BioRobotics Corporation,Healthcare,Medical Devices,NASDAQ,23.47,1541027,1335885184,1.6082,25.18,29.34,-1.062,-21.13,-35.99,-81.29,-50.4,0.0,12.5,4,62.17,19.35,-62.25,0.0,,8,,20260702
HLIT,Harmonic Inc.,Technology,Communication Equipment,NASDAQ,15.78,2916126,1712073728,0.8674,13.59,10.89,2.5203,60.76,48.96,44.59,50.16,0.0,87.5,2,17.68,7.8,-10.75,0.0,,8,,20260702
NUVB,Nuvation Bio Inc.,Healthcare,Biotechnology,NYSE,5.42,5406145,1887254784,0.4195,4.95,5.42,1.1238,11.37,-49.17,155.91,48.0,0.0,88.75,3,9.75,1.9,-44.41,0.0,,8,,20260702
WBTN,WEBTOON Entertainment Inc.,Communication Services,Internet Content & Information,NASDAQ,11.41,328306,1543028352,0.587,12.03,13.25,-1.0631,9.19,-22.23,3.62,-4.03,0.0,36.25,4,22.47,8.3,-49.22,0.0,,8,,20260702
IMKTA,"Ingles Markets, Incorporated",Consumer Defensive,Grocery Stores,NASDAQ,89.61,146365,1702086016,2.4166,88.8,80.11,0.3351,-15.1,20.16,20.61,11.53,0.0,60.0,2,95.62,59.27,-6.29,0.0,,8,,20260702
IIPR,"Innovative Industrial Properties, Inc.",Real Estate,REIT - Industrial,NYSE,62.7,389001,1818009216,1.7733,55.99,49.38,3.7818,13.9,31.06,8.92,17.92,0.0,90.0,2,63.64,44.58,-1.48,0.0,,8,,20260702
FMC,FMC Corporation,Basic Materials,Agricultural Inputs,NYSE,10.95,3438288,1369246080,0.7551,12.89,16.9,-2.5645,-50.93,-28.42,-94.88,-60.63,0.0,8.75,4,44.68,10.72,-75.49,0.0,,8,,20260702
TRVG,trivago N.V.,Communication Services,Internet Content & Information,NASDAQ,5.42,81416,383199808,0.34,3.76,3.17,4.8776,85.03,77.26,21.73,56.99,0.0,93.75,2,5.7,2.59,-4.91,0.0,,8,,20260702
