ticker,name,sector,industry,exchange,close,avg_volume_50d,market_cap,atr14,sma50,sma200,atr_extension,rs_3m,rs_6m,rs_12m,rs_score,rs_percentile,trend_strength,stage,52w_high,52w_low,pct_from_52w_high,rts_composite,rts_grade,rts_grade_rank,colour_band,run_date
RDEIY,"Redeia Corporación, S.A.",Utilities,Utilities - Regulated Electric,PNK,8.72,76614,9410552832,0.1355,8.6,8.47,0.9022,0.82,-11.33,-26.98,-14.55,0.0,87.5,2,11.04,8.08,-21.01,0.0,,8,,20260814
NXSNF,"NextVision Stabilized Systems, Ltd.",Industrials,Security & Protection Services,PNK,69.01,182,6383339008,0.8843,83.82,83.97,-16.7494,-37.51,-37.85,2.64,-21.57,0.0,1.25,4,123.19,39.19,-43.98,0.0,,8,,20260814
EVKIY,Evonik Industries AG,Basic Materials,Specialty Chemicals,PNK,10.3,16919,9599600640,0.3591,9.49,8.52,2.2636,-0.02,12.23,-10.33,0.15,0.0,93.75,2,10.66,7.24,-3.38,0.0,,8,,20260814
BZZUF,Buzzi S.p.A.,Basic Materials,Building Materials,PNK,48.0,429,8472559104,0.2508,49.98,54.78,-7.8907,-15.17,-26.53,-31.92,-25.84,0.0,13.25,4,63.8,46.5,-24.76,0.0,,8,,20260814
UHAL,U-Haul Holding Company,Industrials,Rental & Leasing Services,NYSE,74.21,235422,14507625472,1.8635,67.02,55.49,3.859,37.6,39.57,7.09,26.09,0.0,88.75,2,76.45,41.95,-2.93,0.0,,8,,20260814
QABSY,Qantas Airways Limited,Industrials,Airlines,PNK,35.47,36843,10749767680,0.6441,35.37,33.19,0.1487,4.61,-12.7,-21.99,-12.08,0.0,92.5,2,41.65,28.15,-14.84,0.0,,8,,20260814
DAR,Darling Ingredients Inc.,Consumer Defensive,Packaged Foods,NYSE,67.04,2259430,10579107840,2.2376,58.99,50.69,3.5965,-0.24,26.05,95.68,47.33,0.0,86.25,2,67.67,29.15,-0.93,0.0,,8,,20260814
LINE,"Lineage, Inc.",Real Estate,REIT - Industrial,NASDAQ,41.75,1010866,10468722688,1.4819,42.64,37.48,-0.6023,2.17,-3.22,-17.01,-7.39,0.0,72.0,3,45.75,31.33,-8.74,0.0,,8,,20260814
ASMVF,ASMPT Limited,Technology,Semiconductor Equipment & Materials,PNK,21.0,24,8807169024,0.0927,20.87,14.22,1.4395,-2.51,120.59,198.49,120.97,0.0,75.0,2,22.6,7.44,-7.08,0.0,,8,,20260814
CCOEF,"Capcom Co., Ltd.",Communication Services,Electronic Gaming & Multimedia,PNK,24.0,12646,10039411712,0.2856,20.39,22.54,12.6424,-0.0,7.72,-36.83,-12.03,0.0,51.25,3,28.5,16.45,-15.79,0.0,,8,,20260814
LZRFY,Localiza Rent a Car S.A.,Industrials,Rental & Leasing Services,OQX,6.4,27754,7069535744,0.3961,7.56,8.48,-2.9296,-38.71,-45.15,-21.57,-34.11,0.0,3.75,4,11.76,5.98,-45.58,0.0,,8,,20260814
SIMO,Silicon Motion Technology Corporation,Technology,Semiconductors,NASDAQ,268.9,1074174,9117794304,25.4871,280.27,172.0,-0.4461,-1.91,80.59,233.98,121.32,0.0,48.25,3,355.0,71.35,-24.25,0.0,,8,,20260814
RIOT,"Riot Platforms, Inc.",Financial Services,Capital Markets,NCM,19.01,18225817,7135548416,2.1444,23.14,18.5,-1.9237,-26.8,19.35,42.35,17.01,0.0,37.5,3,30.32,11.16,-37.29,0.0,,8,,20260814
ACM,AECOM,Industrials,Engineering & Construction,NYSE,63.11,2170412,8122031616,2.9746,69.84,89.24,-2.261,-25.54,-50.52,-69.19,-51.74,0.0,11.25,4,135.52,60.35,-53.43,0.0,,8,,20260814
REGMF,"RemeGen Co., Ltd.",Healthcare,Biotechnology,PNK,12.05,4,6791479808,0.0019,12.05,11.01,0.0,-11.72,2.62,114.71,43.87,0.0,50.0,3,12.85,5.06,-6.23,0.0,,8,,20260814
ONBPP,Old National Bancorp,Financial Services,Banks - Regional,NASDAQ,24.9,8895,0,0.124,24.61,24.17,2.3741,-2.81,-9.8,-16.75,-10.83,0.0,90.0,2,25.6,24.41,-2.73,0.0,,8,,20260814
ONB,Old National Bancorp Common Stock,Financial Services,Banks - Regional,NASDAQ,27.17,4120400,10394426368,0.4679,25.79,23.43,2.9519,7.86,-5.32,11.07,4.53,0.0,87.5,2,27.36,19.39,-0.69,0.0,,8,,20260814
ONBPO,Old National Bancorp - Deposita,Financial Services,Banks - Regional,NASDAQ,25.0,5937,0,0.1471,24.57,24.17,2.9002,-2.98,-9.27,-16.37,-10.54,0.0,86.25,2,25.46,24.53,-1.8,0.0,,8,,20260814
