ticker,name,sector,industry,exchange,close,avg_volume_50d,market_cap,atr14,sma50,sma200,atr_extension,rs_3m,rs_6m,rs_12m,rs_score,rs_percentile,trend_strength,stage,52w_high,52w_low,pct_from_52w_high,rts_composite,rts_grade,rts_grade_rank,colour_band,run_date
RDEIY,"Redeia Corporación, S.A.",Utilities,Utilities - Regulated Electric,PNK,8.72,85640,9414450176,0.2117,8.41,8.5,1.4802,-2.65,-3.52,-32.38,-14.84,0.0,93.75,3,11.04,8.08,-21.01,0.0,,8,,20260721
NXSNF,"NextVision Stabilized Systems, Ltd.",Industrials,Security & Protection Services,PNK,76.0,144,7014056960,1.4011,93.92,81.52,-12.7891,-23.92,-6.7,130.9,44.04,0.0,12.0,4,123.19,30.5,-38.31,0.0,,8,,20260721
EVKIY,Evonik Industries AG,Basic Materials,Specialty Chemicals,PNK,9.51,14163,8867048448,0.3042,9.31,8.34,0.6796,-3.75,19.14,-19.85,-2.18,0.0,62.5,2,10.8,7.24,-11.9,0.0,,8,,20260721
BZZUF,Buzzi S.p.A.,Basic Materials,Building Materials,PNK,48.1,401,8495250944,0.5294,51.33,55.4,-6.1041,-20.19,-27.74,-27.0,-25.56,0.0,0.0,4,63.8,47.28,-24.61,0.0,,8,,20260721
UHAL,U-Haul Holding Company,Industrials,Rental & Leasing Services,NYSE,70.93,245295,13866403840,1.6527,60.49,54.17,6.3154,27.05,14.53,-6.74,9.15,0.0,91.25,2,72.95,41.95,-2.77,0.0,,8,,20260721
QABSY,Qantas Airways Limited,Industrials,Airlines,PNK,35.59,42209,10770952192,0.7774,34.04,33.08,1.9916,2.36,-3.58,-19.03,-8.28,0.0,86.25,2,41.65,28.15,-14.55,0.0,,8,,20260721
DAR,Darling Ingredients Inc.,Consumer Defensive,Packaged Foods,NYSE,63.91,2388863,10157047808,1.8705,58.84,48.43,2.7087,2.32,52.75,57.72,42.13,0.0,63.75,2,66.02,29.15,-3.2,0.0,,8,,20260721
LINE,"Lineage, Inc.",Real Estate,REIT - Industrial,NASDAQ,43.3,1010247,10857381888,1.2177,42.07,37.23,1.0101,10.59,13.87,-9.79,3.59,0.0,90.0,2,45.75,31.33,-5.36,0.0,,8,,20260721
ASMVF,ASMPT Limited,Technology,Semiconductor Equipment & Materials,PNK,22.2,19,9310436352,0.0194,22.2,14.11,-0.1957,51.07,127.99,206.1,140.01,0.0,62.0,3,22.6,7.44,-1.77,0.0,,8,,20260721
CCOEF,"Capcom Co., Ltd.",Communication Services,Electronic Gaming & Multimedia,PNK,19.9,12952,8324345344,0.4582,20.17,22.79,-0.5835,-11.34,-25.16,-51.13,-32.09,0.0,12.0,4,29.43,16.45,-32.38,0.0,,8,,20260721
LZRFY,Localiza Rent a Car S.A.,Industrials,Rental & Leasing Services,OQX,7.17,29001,7920089088,0.6167,8.05,8.45,-1.433,-41.05,-17.04,-6.62,-18.88,0.0,7.5,4,11.76,5.98,-39.03,0.0,,8,,20260721
SIMO,Silicon Motion Technology Corporation,Technology,Semiconductors,NASDAQ,278.17,1061096,9432142848,25.9219,287.54,158.11,-0.3616,95.11,139.14,265.81,178.8,0.0,74.5,3,355.0,71.16,-21.64,0.0,,8,,20260721
RIOT,"Riot Platforms, Inc.",Financial Services,Capital Markets,NCM,21.49,17131452,8126470144,1.9082,24.71,18.51,-1.6886,12.81,2.93,34.5,18.03,0.0,58.75,3,30.32,10.59,-29.12,0.0,,8,,20260721
ACM,AECOM,Industrials,Engineering & Construction,NYSE,68.94,2009837,8860369920,1.9811,70.12,93.64,-0.5981,-25.74,-37.99,-58.9,-43.29,0.0,27.0,4,135.52,66.28,-49.13,0.0,,8,,20260721
