ticker,name,sector,industry,exchange,close,avg_volume_50d,market_cap,atr14,sma50,sma200,atr_extension,rs_3m,rs_6m,rs_12m,rs_score,rs_percentile,trend_strength,stage,52w_high,52w_low,pct_from_52w_high,rts_composite,rts_grade,rts_grade_rank,colour_band,run_date
KYOCF,Kyocera Corporation,Industrials,Conglomerates,PNK,25.0,514,32935145472,0.7063,17.74,14.92,10.275,31.43,75.69,56.45,56.93,0.0,76.25,2,25.56,10.42,-2.19,0.0,,8,,20260606
KYOCY,Kyocera Corporation,Industrials,Conglomerates,PNK,22.25,77955,32395010048,0.9785,18.07,15.38,4.2739,25.27,54.66,63.0,50.65,0.0,90.0,2,24.99,10.58,-10.96,0.0,,8,,20260606
AMADF,"Amadeus IT Group, S.A.",Technology,Information Technology Services,PNK,63.5,8557,27391760384,2.6296,59.25,69.15,1.6145,-10.3,-21.46,-50.42,-30.25,0.0,72.0,3,87.61,53.99,-27.52,0.0,,8,,20260606
WNGRF,George Weston Limited,Consumer Defensive,Grocery Stores,PNK,71.99,487,27143368704,0.4282,70.41,68.12,3.6829,-6.36,-7.06,-20.21,-12.15,0.0,55.0,2,192.53,60.17,-62.61,0.0,,8,,20260606
RYAOF,Ryanair Holdings plc,Industrials,Airlines,PNK,25.3,187,31515543552,0.1141,30.37,31.44,-44.4769,-44.85,-24.18,-35.65,-33.93,0.0,0.0,4,38.0,25.3,-33.42,0.0,,8,,20260606
ES,Eversource Energy,Utilities,Utilities - Regulated Electric,NYSE,70.6,2448195,26551248896,1.4575,68.24,67.75,1.6212,-14.02,2.2,-11.0,-7.13,0.0,65.0,2,76.41,61.53,-7.6,0.0,,8,,20260606
BRDCY,Bridgestone Corporation,Consumer Cyclical,Auto Parts,PNK,10.7,383004,26862915584,0.2753,10.51,11.16,0.6858,-13.08,-20.46,-22.92,-19.6,0.0,50.75,3,12.55,9.79,-14.74,0.0,,8,,20260606
MDB,"MongoDB, Inc.",Technology,Software - Infrastructure,NASDAQ,350.74,2076066,28210694144,25.3388,284.35,328.6,2.62,19.69,-22.06,50.42,17.37,0.0,87.5,3,444.72,196.0,-21.13,0.0,,8,,20260606
XYL,Xylem Inc.,Industrials,Specialty Industrial Machinery,NYSE,109.94,2175655,26132023296,2.4953,116.32,132.45,-2.5559,-20.37,-29.86,-37.31,-30.46,0.0,8.75,4,154.27,105.29,-28.74,0.0,,8,,20260606
VEEV,Veeva Systems Inc.,Healthcare,Health Information Services,NYSE,172.61,3007957,28169728000,8.4243,166.3,223.53,0.7487,-21.7,-36.94,-64.31,-44.08,0.0,37.5,3,310.5,148.05,-44.41,0.0,,8,,20260606
