ticker,name,sector,industry,exchange,close,avg_volume_50d,market_cap,atr14,sma50,sma200,atr_extension,rs_3m,rs_6m,rs_12m,rs_score,rs_percentile,trend_strength,stage,52w_high,52w_low,pct_from_52w_high,rts_composite,rts_grade,rts_grade_rank,colour_band,run_date
MASI,Masimo Corporation,Healthcare,Medical Devices,NASDAQ,179.95,1104706,9423817728,0.385,178.55,155.9,3.6388,-6.6,18.91,-19.79,-2.95,0.0,86.25,2,179.99,125.94,-0.02,0.0,,8,,20260610
RDEIY,"Redeia Corporación, S.A.",Utilities,Utilities - Regulated Electric,PNK,8.63,93380,9329190912,0.1467,8.63,8.95,0.0095,-8.91,-9.81,-36.71,-20.35,0.0,73.25,3,11.04,8.08,-21.83,0.0,,8,,20260610
NXSNF,"NextVision Stabilized Systems, Ltd.",Industrials,Security & Protection Services,PNK,101.14,242,10079014912,1.3875,101.49,75.66,-0.252,-10.39,101.44,266.44,139.48,0.0,37.0,3,123.19,30.5,-17.9,0.0,,8,,20260610
EVKIY,Evonik Industries AG,Basic Materials,Specialty Chemicals,PNK,8.99,2273,8164320256,0.282,9.46,8.29,-1.6313,4.55,19.31,-39.21,-7.79,0.0,72.0,3,11.1,7.24,-18.96,0.0,,8,,20260610
BZZUF,Buzzi S.p.A.,Basic Materials,Building Materials,PNK,50.0,108,8873224192,0.2783,53.2,55.86,-11.4952,-15.32,-23.67,-27.18,-22.99,0.0,1.25,4,63.8,49.5,-21.63,0.0,,8,,20260610
UHAL,U-Haul Holding Company,Industrials,Rental & Leasing Services,NYSE,61.76,249039,11733033984,1.8706,52.12,52.97,5.1517,19.88,9.63,-26.21,-2.15,0.0,91.25,3,64.75,41.95,-4.62,0.0,,8,,20260610
QABSY,Qantas Airways Limited,Industrials,Airlines,PNK,32.39,63863,9802504192,0.7589,31.41,33.22,1.287,-3.95,-6.18,-31.54,-15.77,0.0,75.75,3,41.65,28.15,-22.23,0.0,,8,,20260610
DAR,Darling Ingredients Inc.,Consumer Defensive,Packaged Foods,NYSE,58.36,2917725,9275000832,1.9444,61.18,44.91,-1.4504,1.81,51.74,65.36,44.71,0.0,70.75,3,66.02,29.15,-11.6,0.0,,8,,20260610
LINE,"Lineage, Inc.",Real Estate,REIT - Industrial,NASDAQ,44.55,1022426,11170817024,1.5141,38.06,37.01,4.284,6.56,22.08,-19.07,1.74,0.0,91.25,2,46.99,31.33,-5.19,0.0,,8,,20260610
ASMVF,ASMPT Limited,Technology,Semiconductor Equipment & Materials,PNK,22.2,218,9310436352,0.1436,17.74,12.21,31.0903,46.7,116.67,277.94,163.69,0.0,75.0,2,22.6,6.02,-1.77,0.0,,8,,20260610
CCOEF,"Capcom Co., Ltd.",Communication Services,Electronic Gaming & Multimedia,PNK,18.26,9907,7947867648,0.5712,22.1,23.95,-6.7307,-29.66,-36.47,-58.17,-43.45,0.0,2.5,4,32.23,16.45,-43.34,0.0,,8,,20260610
LZRFY,Localiza Rent a Car S.A.,Industrials,Rental & Leasing Services,OQX,7.8,56963,8544907264,0.437,9.31,8.46,-3.4466,-24.24,-13.63,-21.37,-19.38,0.0,22.0,4,11.76,5.98,-33.67,0.0,,8,,20260610
SIMO,Silicon Motion Technology Corporation,Technology,Semiconductors,NASDAQ,259.75,910150,8807560192,21.4115,206.11,127.94,2.505,102.85,175.25,269.91,195.01,0.0,87.5,2,314.34,66.07,-17.37,0.0,,8,,20260610
RIOT,"Riot Platforms, Inc.",Financial Services,Capital Markets,NCM,25.3,17853217,9565335552,1.8724,20.77,17.35,2.4167,63.64,61.21,132.37,90.28,0.0,87.5,2,28.94,8.87,-12.6,0.0,,8,,20260610
ACM,AECOM,Industrials,Engineering & Construction,NYSE,71.29,1691996,9162398720,2.8005,78.75,102.07,-2.6655,-30.83,-38.03,-59.69,-44.9,0.0,11.25,4,135.52,67.64,-47.4,0.0,,8,,20260610
REGMF,"RemeGen Co., Ltd.",Healthcare,Biotechnology,PNK,12.05,76,5528997376,0.0459,11.55,9.75,10.8659,11.36,1.44,113.71,48.83,0.0,75.0,2,12.85,5.06,-6.23,0.0,,8,,20260610
ONBPP,Old National Bancorp,Financial Services,Banks - Regional,NASDAQ,24.79,17909,0,0.1573,24.67,24.36,0.742,-8.47,-5.83,-17.98,-11.35,0.0,85.0,2,25.6,24.41,-3.17,0.0,,8,,20260610
ONB,Old National Bancorp,Financial Services,Banks - Regional,NASDAQ,24.28,3121344,9381136384,0.5398,23.48,22.45,1.4911,1.29,2.12,-7.33,-1.87,0.0,87.5,2,26.17,19.39,-7.22,0.0,,8,,20260610
ONBPO,Old National Bancorp - Deposita,Financial Services,Banks - Regional,NASDAQ,25.0,7315,0,0.1208,24.72,24.36,2.3482,-7.73,-4.63,-15.54,-9.77,0.0,90.0,2,25.49,24.53,-1.92,0.0,,8,,20260610
