ticker,name,sector,industry,exchange,close,avg_volume_50d,market_cap,atr14,sma50,sma200,atr_extension,rs_3m,rs_6m,rs_12m,rs_score,rs_percentile,trend_strength,stage,52w_high,52w_low,pct_from_52w_high,rts_composite,rts_grade,rts_grade_rank,colour_band,run_date
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,NASDAQ,467.51,38103470,762322092032,25.2424,303.19,230.88,6.5097,128.23,95.96,287.8,180.76,99.0,88.75,2,481.41,108.62,-2.89,94.9,A+,1,orange,20260525
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,NASDAQ,382.97,28589893,4639851282432,9.8835,341.14,295.96,4.2323,13.47,17.8,98.59,49.03,93.18,93.75,2,408.61,162.0,-6.27,93.41,A+,1,yellow,20260525
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,NASDAQ,238.16,18433157,251020640256,15.1361,156.56,159.38,5.3908,61.14,31.86,31.69,39.11,87.35,87.5,3,247.9,121.99,-3.93,87.41,A,2,orange,20260525
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,NYSE,154.92,21267759,642135228416,4.4385,154.73,129.38,0.0421,-6.11,20.63,24.82,15.62,81.53,90.0,2,176.41,101.19,-12.18,84.92,A,2,blue,20260525
NVDA,NVIDIA Corporation,Technology,Semiconductors,NASDAQ,215.33,169915488,5215507972096,7.5873,196.81,187.02,2.4412,2.85,2.29,34.02,15.12,75.71,88.75,2,236.54,132.92,-8.97,80.93,B,3,green,20260525
AAPL,Apple Inc.,Technology,Consumer Electronics,NASDAQ,308.82,43882808,4535749181440,5.9397,270.36,261.09,6.4754,6.56,2.04,24.03,11.96,69.88,93.75,2,311.4,195.07,-0.83,79.43,B,3,blue,20260525
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,NASDAQ,266.32,45242147,2864833626112,6.66,241.92,230.55,3.6631,20.17,6.42,3.02,8.5,58.24,88.75,2,278.56,196.0,-4.39,70.44,B,3,blue,20260525
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,NYSE,234.34,7787152,564107214848,4.0552,233.36,209.49,0.2411,-13.74,3.9,27.85,9.07,64.06,63.75,2,251.71,149.04,-6.9,63.94,C,4,blue,20260525
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,NYSE,1065.0,3079434,949704589312,30.1827,941.92,925.28,4.0778,-8.79,-11.36,18.55,1.25,52.41,63.75,2,1133.95,623.78,-6.08,56.95,C,4,yellow,20260525
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,NASDAQ,120.27,19200575,958671028224,3.3079,126.77,114.3,-1.9662,-13.59,7.09,-3.63,-2.37,46.59,62.5,3,135.16,93.43,-11.02,52.95,C,4,blue,20260525
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,NASDAQ,426.01,61851583,1599975981056,16.4229,388.33,410.03,2.2941,-3.02,-7.72,-2.08,-4.29,40.76,91.25,3,498.83,273.21,-14.6,60.96,C,4,green,20260525
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,NYSE,306.38,9352913,820948697088,6.011,301.22,303.26,0.8592,-6.11,-11.17,-9.74,-9.33,34.94,86.25,3,337.25,260.31,-9.15,55.46,C,4,blue,20260525
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,NASDAQ,1028.24,1870963,456181284864,22.0726,1007.01,954.89,0.9618,-5.13,2.61,-28.54,-11.79,29.12,87.5,2,1096.5,844.06,-6.23,52.47,C,4,green,20260525
V,Visa Inc.,Financial Services,Credit Services,NYSE,328.88,7297860,625445502976,6.4047,313.13,329.62,2.4597,-2.05,-11.28,-36.88,-19.21,23.29,73.25,3,375.51,293.89,-12.42,43.27,D,5,blue,20260525
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,NASDAQ,610.26,15517026,1549098287104,15.3418,617.8,668.65,-0.4917,-13.72,-9.62,-33.07,-20.02,17.47,40.25,4,796.25,520.26,-23.36,26.58,E,6,,20260525
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,NASDAQ,418.57,33775124,3109320130560,10.9947,399.61,458.27,1.7243,-0.46,-26.7,-36.17,-23.93,11.65,77.0,3,555.45,356.28,-24.64,37.79,E,6,green,20260525
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,NYSE,144.44,9516357,336342843392,2.7911,144.24,147.95,0.073,-21.46,-13.46,-39.57,-25.9,5.82,45.75,3,170.99,137.62,-15.53,21.79,F,7,blue,20260525
NFLX,"Netflix, Inc.",Communication Services,Entertainment,NASDAQ,88.6,43448260,373076754432,2.5579,93.68,101.88,-1.9868,6.98,-32.62,-55.23,-31.76,0.0,36.25,4,134.12,75.01,-33.94,14.5,F,7,blue,20260525
